Symbol,Name,Last,"Prev High","Prev Low","1M High","1M Low",Volume,"Prev Vol","1M Avg Vol","Earnings ttm","Book Value","Div Yield"
SLG,"SL Green Realty Corp",46.37,47.97,45.57,52.17,42.67,1230600,1074100,1555550,2.83,75.65,7.61%
SNA,"Snap-On Inc",147.13,147.7,144.41,156.31,138.94,630600,241400,335859,10.55,64.41,2.97%
SNPS,"Synopsys Inc",213.98,215.4,211.8,230.12,193.55,696200,632400,827100,4.04,30.32,0.00%
SO,"Southern Company",54.22,54.18,53.22,54.7,51.22,4659500,2952000,4114655,3.17,30.54,4.77%
SPG,"Simon Property Group",64.68,65.34,62.9,75.2,59.6,4182700,3822400,4938582,5.69,7.29,8.13%
SPGI,"S&P Global Inc",360.6,360.32,354.55,379.87,335.05,1000100,580800,824264,11.12,1.11,0.75%
SPLK,"Splunk Inc",188.13,189.7,185.45,225.89,171.07,1584000,1155800,1741218,-2.97,10.41,0.00%
SRE,"Sempra Energy",118.36,117.99,115.65,125.9,112.33,1627900,951300,1471114,7.78,86.77,3.60%
STE,"Steris Corp",176.19,174.73,172.18,177.75,155.99,537600,420900,517636,5.72,41.08,0.93%
STT,"State Street Corp",59.33,60.59,59.26,71.14,56.63,2789900,1290900,2533077,7.04,70.59,3.47%
STX,"Seagate Tech Ord Shs",49.27,50.7,49.48,50.7,45.25,2923900,3544700,3141291,4.67,6.96,5.19%
STZ,"Constellation Brands Inc",189.51,190.16,186.03,197.97,179.79,1305000,992100,1154095,9.22,59,1.60%
SWK,"Stanley Black & Decker Inc",162.2,164.52,160.94,168.25,152.19,884100,930200,969982,7.11,62.41,1.73%
SWKS,"Skyworks Solutions",145.5,146.48,143.71,154.24,130.72,1825700,1457100,2026455,5.06,25.04,1.39%
SYF,"Synchrony Financial",26.17,25.97,25.27,27.92,24.2,6449000,3377400,5268318,2.96,20.38,3.44%
SYK,"Stryker Corp",208.37,208.86,203.45,216.85,194.64,1098400,782000,1349445,6.88,34.03,1.12%
SYY,"Sysco Corp",62.22,61.99,60.81,69.51,58.92,2255900,2135800,3046214,1.99,2.28,2.94%
T,"AT&T Inc",28.51,28.41,28.13,30.17,27.75,38973902,25472199,36811531,3.5,26.93,7.35%
TAP,"Molson Coors Brewing Company",33.56,35.25,33.53,38.71,32.11,2424800,3779300,2612427,4.4,61.23,0.00%
TCOM,"Trip.com Group Ltd",31.14,31.83,30.9,32.11,27.32,3849200,4873000,4502295,-0.39,0,0.00%
TDG,"Transdigm Group Inc",475.12,501.28,488.5,529.2,467.91,687100,584900,448350,16.06,-77.09,0.00%
TDY,"Teledyne Technologies Inc",310.21,315.06,310.38,326.88,304.22,286600,134600,218964,10.45,78.13,0.00%
TEL,"Te Connectivity Ltd",97.74,97.97,96.72,103.2,90.88,1371200,1614500,1701968,4.42,27.71,1.97%
TER,"Teradyne Inc",79.46,80.67,79.49,88.53,74.07,1802700,1173300,3426482,3.98,10.51,0.50%
TFC,"Truist Financial Corp",38.05,37.3,36.24,41.04,34.86,7951800,5172900,5584191,3.88,51.11,4.86%
TFX,"Teleflex Inc",340.42,345.63,335.33,409.27,320.33,167800,188100,271045,10.9,66.58,0.41%
TGT,"Target Corp",157.42,158.43,155.87,159.15,143.38,2805900,2784500,3194309,7.02,25.12,1.73%
TIF,"Tiffany & Company",115.85,116.8,115.59,123.8,108.11,1187100,905500,2069659,2.24,26.43,1.99%
TJX,"TJX Companies",55.65,55.19,53.62,58.15,51.8,6325800,6444500,6628918,0.57,3.89,0.00%
TMO,"Thermo Fisher Scientific Inc",441.52,436.3,430,444.8,401.07,1516300,911900,1409564,13.32,75.52,0.20%
TMUS,"T-Mobile US",114.36,114.84,113.29,119.2,107.79,5173600,3221500,4611104,3.87,45.28,0.00%
TPR,"Tapestry Inc",15.63,16.52,15.48,18.6,14.14,5255600,5854500,6684277,0.98,8.24,0.00%
TRV,"The Travelers Companies Inc",108.19,110.25,106.55,120.88,105.67,1595400,1306400,1485614,7.17,106.41,3.16%
TSCO,"Tractor Supply Company",143.34,142.91,140.82,151.77,136.01,1551500,950600,1223964,5.86,14.59,1.13%
TSLA,"Tesla Inc",429.01,428.5,411.6,502.49,329.88,47854801,50341402,84319781,0.39,11.51,0.00%
TSN,"Tyson Foods",59.48,59.97,58.59,66.49,56.27,1563300,1156400,3227750,5.04,41.11,2.85%
TT,"Trane Technologies Plc",121.25,122.38,120.86,126,115.28,883900,579400,1007900,5.09,24.9,1.75%
TTWO,"Take-Two Interacti",165.22,167.35,163.9,174.16,151.63,929000,1216200,1214300,6.03,23.19,0.00%
TWTR,"Twitter Inc",44.5,45.51,44.29,46.82,38.1,12901500,13593200,17523914,-1.31,9.68,0.00%
TXN,"Texas Instruments",142.79,143.05,141.2,148.37,134.12,5599000,2747400,4422486,5.33,8.33,2.54%
TXT,"Textron Inc",36.09,37.09,36.42,41.08,33.76,1087000,975700,1336277,2.54,24.24,0.22%
TYL,"Tyler Technologies",348.56,348.79,345.65,352.5,319.58,345400,173200,289150,4.11,45.46,0.00%
UA,"Under Armour Inc Cl C",9.84,9.99,9.62,10.89,8.71,2711400,2876500,4848673,-0.32,3.13,0.00%
UAA,"Under Armour",11.23,11.37,10.89,12.42,9.66,4808400,4985900,7998882,-0.32,3.13,0.00%
UAL,"United Airlines Holdings Inc",34.75,35.61,34.24,39.77,31.22,29355199,25029701,27932908,-5.14,29.27,0.00%
UDR,"United Dominion Realty Trust",32.61,33.05,32.13,36.07,31.61,3112200,1434800,2272455,0.62,11.57,4.46%
UHS,"Universal Health Services",107.02,104,99.96,122.99,99.47,747700,737500,784986,9.44,67.84,0.00%
ULTA,"Ulta Beauty Inc",223.98,225.93,218.48,244,212.06,751200,675500,889505,5.69,31.44,0.00%
UNH,"Unitedhealth Group Inc",311.77,305.5,300.68,323.82,289.64,3467200,1797800,2900109,18.62,69.99,1.64%
UNM,"Unumprovident Corp",16.83,17.11,16.47,19.99,15.79,2341600,1665900,2470900,5.35,51.88,6.83%
UNP,"Union Pacific Corp",196.87,200.38,196.65,205.78,188.5,3605800,2317400,2582191,8.06,24.24,1.97%
UPS,"United Parcel Service",166.63,170.46,167.12,171.98,154.63,5421500,3138000,3797295,7.46,5.07,2.40%
URI,"United Rentals",174.5,176.62,171.5,185.29,159.01,800900,602100,788359,18.59,54.2,0.00%
USB,"U.S. Bancorp",35.85,35.58,34.72,38.94,34.17,9456300,5202700,7034800,3.36,34.84,4.76%
V,"Visa Inc",199.97,202.38,199.37,217.35,193.13,9130100,5559800,8439723,5.38,18.29,0.60%
VAR,"Varian Medical Systems",172,172.25,171.75,174.97,171.75,1584100,783500,1462336,4,21.4,0.00%
VFC,"V.F. Corp",70.25,71.1,68.85,77.3,65.05,1979200,1886600,2441159,2.02,7.47,2.76%
VIAC,"Viacomcbs Inc Cl B",28.01,29.91,28.9,31.4,27.19,9320100,11467399,10149904,4.3,23.62,3.31%
VLO,"Valero Energy Corp",43.32,44.99,43.1,55.25,42.93,4754900,4385100,4719300,2.7,50.6,9.03%
VMC,"Vulcan Materials Company",135.54,133.6,131.18,136.44,119.28,1029100,544100,847782,4.83,43.52,1.02%
VNO,"Vornado Realty Trust",33.71,34.73,32.97,38.17,31.36,1654000,1271500,1965782,0.56,36.25,6.27%
VRSK,"Verisk Analytics Inc",185.31,188.03,184.36,193.61,175.37,1001900,952300,732059,4.71,13.41,0.59%
VRSN,"Verisign Inc",204.85,206.2,200.63,220.51,194.95,637900,526500,792250,6.74,-12.19,0.00%
VRTX,"Vertex Pharmaceutic",272.12,271.68,266.38,283.45,253.97,1381300,891600,1330545,6.88,28.87,0.00%
VTR,"Ventas Inc",41.96,42.72,41.44,46.49,39.14,2487900,1523800,2958950,1.09,27.88,4.23%
VZ,"Verizon Communications Inc",59.49,59.49,59.1,61.5,58.65,16346900,10008100,15184854,4.82,15.49,4.15%
WAB,"Wabtec Corp",61.88,63.12,61.79,70.44,59.28,1143400,565000,1132396,3.91,51.92,0.77%
WAT,"Waters Corp",195.68,195.12,191.62,218.48,187.31,370100,266800,395136,8.58,-3.1,0.00%
WBA,"Walgreens Boots Alliance",35.92,36.27,35.35,38.71,33.88,6675800,5079500,7678127,5.15,24.31,5.29%
WDAY,"Workday Inc",215.13,222.88,219.7,246.9,195.81,2123300,1723600,2136255,-1.26,11.98,0.00%
WDC,"Western Digital Cp",36.55,40.05,38.45,41.12,35.56,14125600,6681700,6621772,2.11,31.87,0.00%
WEC,"Wisconsin Energy Corp",96.9,97.54,96.14,100.43,92.7,1345900,879100,1264455,3.7,33.26,2.62%
WELL,"Welltower Inc",55.09,54.63,53.32,61.8,51.22,3399200,2048700,3091886,3.51,40.57,4.48%
WFC,"Wells Fargo & Company",23.51,23.72,23.07,26,22.56,43045402,38448000,46602711,1.2,43.72,1.72%
