Symbol,Name,Open,Last,"Prev Open",Previous,"Open 2D Ago","Last 2D Ago","1M MA","1M High","1M Low",Volume,"Prev Vol","5D Avg Vol","1M Avg Vol"
AFL,"Aflac Inc",37.41,37.21,36.61,37.25,37.2,36.98,36.97,38.72,34.92,2630899,2443800,2490520,3774218
AIG,"American International Group",30.01,30.29,29.16,29.96,29.79,29.65,28.52,30.66,25.57,4893989,3554500,6146020,7006568
AIV,"Apartment Investment and Management",35.1,34.39,35.24,35.24,35.55,35.41,35.14,37.21,32.85,580750,622100,701880,1473595
AIZ,"Assurant Inc",123.45,123.47,120.72,123.12,122.19,122.44,121.99,127.47,116.11,291410,273200,276860,380214
AJG,"Arthur J. Gallagher & Company",108.45,108.77,107.07,108.16,108.98,107.83,105.87,110.56,101.36,575078,687100,763640,840668
AKAM,"Akamai Technologies",109.62,110.71,110,109.05,115.72,113.33,110.7,115.84,104.1,1527200,2610300,1562320,1265350
ALB,"Albemarle Corp",95.13,93.42,92.99,94.35,92.76,94.59,92.03,101,79.06,655921,923200,862320,1365964
ALGN,"Align Technology",338.89,336.52,330.11,336.67,333.53,333.1,323.78,343,297.44,548800,616500,569880,578814
ALK,"Alaska Air Group",38.18,39.35,38.02,38.03,38.09,38.55,37.89,43.56,34.83,2457612,1818600,2110780,2362977
ALL,"Allstate Corp",91.82,92.58,90.04,91.71,91.88,91.28,92.41,95.22,88.78,3520974,1811900,2377460,2026141
ALLE,"Allegion Plc",105.23,104.99,102.95,104.82,105,104.48,101.09,108.09,94.01,386458,357100,497380,798573
ALXN,"Alexion Pharm Inc",120.97,124.13,120.79,122.03,124.11,122.52,117.34,128.57,109.51,4251100,1474400,2290260,2565495
AMAT,"Applied Materials",63.76,63,62.4,63.51,64.9,63.98,60.28,65.42,54.15,6841000,6397300,6654780,7210127
AMCR,"Amcor Plc",11.52,11.5,11.25,11.47,11.45,11.4,11.13,11.59,10.44,4263111,3273500,4058420,6589345
AMD,"Adv Micro Devices",83.54,83.17,83.4,83.13,85.86,84.21,81.48,88.72,73.85,31474199,33696398,39210180,50536879
